INSERT INTO scheduled(showMovieId, movieID, theaterID, showMovieDate, showMovieDuration) VALUES
  (142, 189, 22, '2023-09-15', 211),
  (143, 364, 19, '2023-09-16', 217),
  (144, 222, 2, '2023-09-17', 116),
  (145, 148, 4, '2023-09-18', 165),
  (146, 59, 27, '2023-09-19', 214),
  (147, 211, 6, '2023-09-20', 239),
  (148, 402, 8, '2023-09-21', 181),
  (149, 100, 23, '2023-09-22', 162),
  (150, 379, 24, '2023-09-23', 204),
  (151, 139, 16, '2023-09-24', 197),
  (152, 271, 11, '2023-09-25', 83),
  (153, 77, 15, '2023-09-26', 166),
  (154, 214, 20, '2023-09-27', 250),
  (155, 286, 18, '2023-09-28', 117),
  (156, 178, 14, '2023-09-29', 189),
  (157, 395, 13, '2023-09-30', 144),
  (158, 189, 22, '2023-10-01', 214),
  (159, 364, 19, '2023-10-02', 220),
  (160, 222, 2, '2023-10-03', 113),
  (161, 148, 4, '2023-10-04', 160),
  (162, 59, 27, '2023-10-05', 218),
  (163, 211, 6, '2023-10-06', 243),
  (164, 402, 8, '2023-10-07', 178),
  (165, 100, 23, '2023-10-08', 165),
  (166, 379, 24, '2023-10-09', 201),
  (167, 139, 16, '2023-10-10', 200),
  (168, 271, 11, '2023-10-11', 80),
  (169, 77, 15, '2023-10-12', 163),
  (170, 214, 20, '2023-10-13', 255),
  (171, 286, 18, '2023-10-14', 114),
  (172, 178, 14, '2023-10-15', 193),
  (173, 395, 13, '2023-10-16', 141),
  (174, 189, 22, '2023-10-17', 217),
  (175, 364, 19, '2023-10-18', 223),
  (176, 222, 2, '2023-10-19', 110),
  (177, 148, 4, '2023-10-20', 155),
  (178, 59, 27, '2023-10-21', 222),
  (179, 211, 6, '2023-10-22', 246),
  (180, 402, 8, '2023-10-23', 174),
  (181, 100, 23, '2023-10-24', 168),
  (182, 379, 24, '2023-10-25', 198),
  (183, 139, 16, '2023-10-26', 203),
  (184, 271, 11, '2023-10-27', 77),
  (185, 77, 15, '2023-10-28', 159),
  (186, 214, 20, '2023-10-29', 260),
  (187, 286, 18, '2023-10-30', 111),
  (188, 178, 14, '2023-10-31', 197),
  (189, 395, 13, '2023-11-01', 138),
  (190, 189, 22, '2023-11-02', 220),
  (191, 364, 19, '2023-11-03', 225),
  (192, 222, 2, '2023-11-04', 107),
  (193, 148, 4, '2023-11-05', 150),
  (194, 59, 27, '2023-11-06', 226),
  (195, 211, 6, '2023-11-07', 249),
  (196, 402, 8, '2023-11-08', 170),
  (197, 100, 23, '2023-11-09', 171),
  (198, 379, 24, '2023-11-10', 195),
  (199, 139, 16, '2023-11-11', 206),
  (200, 271, 11, '2023-11-12', 74),
  (201, 77, 15, '2023-11-13', 155),
  (202, 214, 20, '2023-11-14', 265),
  (203, 286, 18, '2023-11-15', 107),
  (204, 178, 14, '2023-11-16', 200),
  (205, 395, 13, '2023-11-17', 135),
  (206, 189, 22, '2023-11-18', 224),
  (207, 364, 19, '2023-11-19', 228),
  (208, 222, 2, '2023-11-20', 104),
  (209, 148, 4, '2023-11-21', 145),
  (210, 59, 27, '2023-11-22', 230),
  (211, 211, 6, '2023-11-23', 252),
  (212, 402, 8, '2023-11-24', 166),
  (213, 100, 23, '2023-11-25', 174),
  (214, 379, 24, '2023-11-26', 192),
  (215, 139, 16, '2023-11-27', 209),
  (216, 271, 11, '2023-11-28', 71),
  (217, 77, 15, '2023-11-29', 151),
  (218, 214, 20, '2023-11-30', 270),
  (219, 286, 18, '2023-12-01', 104),
  (220, 178, 14, '2023-12-02', 204),
  (221, 395, 13, '2023-12-03', 132),
  (222, 189, 22, '2023-12-04', 228),
  (223, 364, 19, '2023-12-05', 230),
  (224, 222, 2, '2023-12-06', 101),
  (225, 148, 4, '2023-12-07', 140),
  (226, 59, 27, '2023-12-08', 234),
  (227, 211, 6, '2023-12-09', 255),
  (228, 402, 8, '2023-12-10', 162),
  (229, 100, 23, '2023-12-11', 177),
  (230, 379, 24, '2023-12-12', 188),
  (231, 139, 16, '2023-12-13', 212),
  (232, 271, 11, '2023-12-14', 69),
  (233, 77, 15, '2023-12-15', 147),
  (234, 214, 20, '2023-12-16', 275),
  (235, 286, 18, '2023-12-17', 101),
  (236, 178, 14, '2023-12-18', 207),
  (237, 395, 13, '2023-12-19', 128),
  (238, 189, 22, '2023-12-20', 232),
  (239, 364, 19, '2023-12-21', 232),
  (240, 222, 2, '2023-12-22', 98),
  (241, 148, 4, '2023-12-23', 135),
  (242, 59, 27, '2023-12-24', 238),
  (243, 211, 6, '2023-12-25', 258),
  (244, 402, 8, '2023-12-26', 158),
  (245, 100, 23, '2023-12-27', 180),
  (246, 379, 24, '2023-12-28', 184),
  (247, 139, 16, '2023-12-29', 215),
  (248, 271, 11, '2023-12-30', 66),
  (249, 77, 15, '2023-12-31', 143),
  (250, 286, 18, '2024-01-02', 98),
  (251, 178, 14, '2024-01-03', 210),
  (252, 395, 13, '2024-01-04', 125),
  (253, 189, 22, '2024-01-05', 235),
  (254, 364, 19, '2024-01-06', 235),
  (255, 222, 2, '2024-01-07', 95),
  (256, 148, 4, '2024-01-08', 130),
  (257, 59, 27, '2024-01-09', 242),
  (258, 211, 6, '2024-01-10', 261),
  (259, 402, 8, '2024-01-11', 154),
  (260, 100, 23, '2024-01-12', 183),
  (261, 379, 24, '2024-01-13', 180),
  (262, 139, 16, '2024-01-14', 219),
  (263, 271, 11, '2024-01-15', 64),
  (264, 77, 15, '2024-01-16', 139),
  (265, 214, 20, '2024-01-17', 285),
  (266, 286, 18, '2024-01-18', 95),
  (267, 178, 14, '2024-01-19', 213),
  (268, 395, 13, '2024-01-20', 122),
  (269, 189, 22, '2024-01-21', 238),
  (270, 364, 19, '2024-01-22', 238),
  (271, 222, 2, '2024-01-23', 92),
  (272, 148, 4, '2024-01-24', 125),
  (273, 59, 27, '2024-01-25', 246),
  (274, 211, 6, '2024-01-26', 264),
  (275, 402, 8, '2024-01-27', 150),
  (276, 100, 23, '2024-01-28', 186),
  (277, 379, 24, '2024-01-29', 176),
  (278, 139, 16, '2024-01-30', 225),
  (279, 271, 11, '2024-01-31', 61),
  (280, 77, 15, '2024-02-01', 135),
  (281, 214, 20, '2024-02-02', 290),
  (282, 286, 18, '2024-02-03', 92),
  (283, 178, 14, '2024-02-04', 216),
  (284, 395, 13, '2024-02-05', 119),
  (285, 189, 22, '2024-02-06', 242),
  (286, 364, 19, '2024-02-07', 242),
  (287, 222, 2, '2024-02-08', 89),
  (288, 148, 4, '2024-02-09', 120),
  (289, 59, 27, '2024-02-10', 250),
  (290, 211, 6, '2024-02-11', 267),
  (291, 402, 8, '2024-02-12', 146),
  (292, 100, 23, '2024-02-13', 189),
  (293, 379, 24, '2024-02-14', 172),
  (294, 139, 16, '2024-02-15', 231),
  (295, 271, 11, '2024-02-16', 57),
  (296, 77, 15, '2024-02-17', 131),
  (297, 214, 20, '2024-02-18', 295),
  (298, 286, 18, '2024-02-19', 89),
  (299, 178, 14, '2024-02-20', 219),
  (300, 395, 13, '2024-02-21', 116),
  (301, 189, 22, '2024-02-22', 249),
  (302, 364, 19, '2024-02-23', 249),
  (303, 222, 2, '2024-02-24', 86),
  (304, 148, 4, '2024-02-25', 115),
  (305, 59, 27, '2024-02-26', 254),
  (306, 211, 6, '2024-02-27', 270),
  (307, 402, 8, '2024-02-28', 142),
  (308, 100, 23, '2024-02-29', 192),
  (309, 379, 24, '2024-03-01', 168),
  (310, 139, 16, '2024-03-02', 237),
  (311, 271, 11, '2024-03-03', 53),
  (312, 77, 15, '2024-03-04', 127),
  (313, 214, 20, '2024-03-05', 300),
  (314, 286, 18, '2024-03-06', 86),
  (315, 178, 14, '2024-03-07', 222),
  (316, 395, 13, '2024-03-08', 113),
  (317, 189, 22, '2024-03-09', 256),
  (318, 364, 19, '2024-03-10', 256),
  (319, 222, 2, '2024-03-11', 83),
  (320, 148, 4, '2024-03-12', 110),
  (321, 59, 27, '2024-03-13', 258),
  (322, 211, 6, '2024-03-14', 273),
  (323, 402, 8, '2024-03-15', 138),
  (324, 100, 23, '2024-03-16', 195),
  (325, 379, 24, '2024-03-17', 164),
  (326, 139, 16, '2024-03-18', 243),
  (327, 271, 11, '2024-03-19', 50),
  (328, 77, 15, '2024-03-20', 123),
  (329, 214, 20, '2024-03-21', 305),
  (330, 286, 18, '2024-03-22', 83),
  (331, 178, 14, '2024-03-23', 225),
  (332, 395, 13, '2024-03-24', 110),
  (333, 189, 22, '2024-03-25', 263),
  (334, 364, 19, '2024-03-26', 263),
  (335, 222, 2, '2024-03-27', 80),
  (336, 148, 4, '2024-03-28', 105),
  (337, 59, 27, '2024-03-29', 262),
  (338, 211, 6, '2024-03-30', 276),
  (339, 402, 8, '2024-03-31', 134),
  (340, 100, 23, '2024-04-01', 198),
  (341, 379, 24, '2024-04-02', 160),
  (342, 139, 16, '2024-04-03', 249),
  (343, 271, 11, '2024-04-04', 48),
  (344, 77, 15, '2024-04-05', 119),
  (345, 214, 20, '2024-04-06', 310),
  (346, 286, 18, '2024-04-07', 80),
  (347, 178, 14, '2024-04-08', 228),
  (348, 395, 13, '2024-04-09', 106),
  (349, 189, 22, '2024-04-10', 270),
  (350, 364, 19, '2024-04-11', 270),
  (351, 222, 2, '2024-04-12', 77),
  (352, 148, 4, '2024-04-13', 100),
  (353, 59, 27, '2024-04-14', 266),
  (354, 211, 6, '2024-04-15', 279),
  (355, 402, 8, '2024-04-16', 130),
  (356, 100, 23, '2024-04-17', 201),
  (357, 379, 24, '2024-04-18', 155),
  (358, 139, 16, '2024-04-19', 255),
  (359, 271, 11, '2024-04-20', 45),
  (360, 77, 15, '2024-04-21', 115),
  (361, 214, 20, '2024-04-22', 315),
  (362, 286, 18, '2024-04-23', 77),
  (363, 178, 14, '2024-04-24', 231),
  (364, 395, 13, '2024-04-25', 102),
  (365, 189, 22, '2024-04-26', 277),
  (366, 364, 19, '2024-04-27', 277),
  (367, 222, 2, '2024-04-28', 74),
  (368, 148, 4, '2024-04-29', 95),
  (369, 59, 27, '2024-04-30', 270),
  (370, 211, 6, '2024-05-01', 282),
  (371, 402, 8, '2024-05-02', 126),
  (372, 100, 23, '2024-05-03', 204),
  (373, 379, 24, '2024-05-04', 150),
  (374, 139, 16, '2024-05-05', 261),
  (375, 271, 11, '2024-05-06', 42),
  (376, 77, 15, '2024-05-07', 111),
  (377, 214, 20, '2024-05-08', 320),
  (378, 286, 18, '2024-05-09', 74),
  (379, 178, 14, '2024-05-10', 234),
  (380, 395, 13, '2024-05-11', 98),
  (381, 189, 22, '2024-05-12', 284),
  (382, 364, 19, '2024-05-13', 284),
  (383, 222, 2, '2024-05-14', 71),
  (384, 148, 4, '2024-05-15', 90),
  (385, 59, 27, '2024-05-16', 274),
  (386, 211, 6, '2024-05-17', 285),
  (387, 402, 8, '2024-05-18', 122),
  (388, 100, 23, '2024-05-19', 207),
  (389, 379, 24, '2024-05-20', 145),
  (390, 139, 16, '2024-05-21', 267),
  (391, 271, 11, '2024-05-22', 39),
  (392, 77, 15, '2024-05-23', 107),
  (393, 214, 20, '2024-05-24', 325),
  (394, 286, 18, '2024-05-25', 71),
  (395, 178, 14, '2024-05-26', 237),
  (396, 395, 13, '2024-05-27', 94),
  (397, 189, 22, '2024-05-28', 291),
  (398, 364, 19, '2024-05-29', 291),
  (399, 222, 2, '2024-05-30', 68),
  (400, 148, 4, '2024-05-31', 85),
  (401, 59, 27, '2024-06-01', 268),
  (402, 211, 6, '2024-06-02', 279),
  (403, 402, 8, '2024-06-03', 118),
  (404, 100, 23, '2024-06-04', 210),
  (405, 379, 24, '2024-06-05', 140),
  (406, 139, 16, '2024-06-06', 273),
  (407, 271, 11, '2024-06-07', 37),
  (408, 77, 15, '2024-06-08', 103),
  (409, 214, 20, '2024-06-09', 325),
  (410, 286, 18, '2024-06-10', 68),
  (411, 178, 14, '2024-06-11', 240),
  (412, 395, 13, '2024-06-12', 92),
  (413, 189, 22, '2024-06-13', 298),
  (414, 364, 19, '2024-06-14', 298),
  (415, 222, 2, '2024-06-15', 65),
  (416, 148, 4, '2024-06-16', 80),
  (417, 59, 27, '2024-06-17', 262),
  (418, 211, 6, '2024-06-18', 276),
  (419, 402, 8, '2024-06-19', 114),
  (420, 100, 23, '2024-06-20', 213),
  (421, 379, 24, '2024-06-21', 135),
  (422, 139, 16, '2024-06-22', 279),
  (423, 271, 11, '2024-06-23', 35),
  (424, 77, 15, '2024-06-24', 99),
  (425, 214, 20, '2024-06-25', 330),
  (426, 286, 18, '2024-06-26', 65),
  (427, 178, 14, '2024-06-27', 243),
  (428, 395, 13, '2024-06-28', 86),
  (429, 189, 22, '2024-06-29', 305),
  (430, 364, 19, '2024-06-30', 305),
  (431, 222, 2, '2024-07-01', 62),
  (432, 148, 4, '2024-07-02', 75),
  (433, 59, 27, '2024-07-03', 256),
  (434, 211, 6, '2024-07-04', 273),
  (435, 402, 8, '2024-07-05', 110),
  (436, 100, 23, '2024-07-06', 216),
  (437, 379, 24, '2024-07-07', 130),
  (438, 139, 16, '2024-07-08', 285),
  (439, 271, 11, '2024-07-09', 33),
  (440, 77, 15, '2024-07-10', 96),
  (441, 214, 20, '2024-07-11', 335),
  (442, 286, 18, '2024-07-12', 62),
  (443, 178, 14, '2024-07-13', 246),
  (444, 395, 13, '2024-07-14', 80),
  (445, 189, 22, '2024-07-15', 312),
  (446, 364, 19, '2024-07-16', 312),
  (447, 222, 2, '2024-07-17', 59),
  (448, 148, 4, '2024-07-18', 70),
  (449, 59, 27, '2024-07-19', 250),
  (450, 211, 6, '2024-07-20', 270),
  (451, 402, 8, '2024-07-21', 106),
  (452, 100, 23, '2024-07-22', 219),
  (453, 379, 24, '2024-07-23', 125),
  (454, 139, 16, '2024-07-24', 291),
  (455, 271, 11, '2024-07-25', 30),
  (456, 77, 15, '2024-07-26', 93),
  (457, 214, 20, '2024-07-27', 340),
  (458, 286, 18, '2024-07-28', 60),
  (459, 178, 14, '2024-07-29', 249),
  (460, 395, 13, '2024-07-30', 75),
  (461, 189, 22, '2024-07-31', 319),
  (462, 364, 19, '2024-08-01', 319),
  (463, 222, 2, '2024-08-02', 57),
  (464, 148, 4, '2024-08-03', 65),
  (465, 59, 27, '2024-08-04', 244),
  (466, 211, 6, '2024-08-05', 267),
  (467, 402, 8, '2024-08-06', 102),
  (468, 100, 23, '2024-08-07', 222),
  (469, 379, 24, '2024-08-08', 120),
  (470, 139, 16, '2024-08-09', 297),
  (471, 271, 11, '2024-08-10', 27),
  (472, 77, 15, '2024-08-11', 90),
  (473, 214, 20, '2024-08-12', 345),
  (474, 286, 18, '2024-08-13', 57),
  (475, 178, 14, '2024-08-14', 252),
  (476, 395, 13, '2024-08-15', 70),
  (477, 189, 22, '2024-08-16', 326),
  (478, 364, 19, '2024-08-17', 326),
  (479, 222, 2, '2024-08-18', 54),
  (480, 148, 4, '2024-08-19', 60),
  (481, 59, 27, '2024-08-20', 238),
  (482, 211, 6, '2024-08-21', 264),
  (483, 402, 8, '2024-08-22', 98),
  (484, 100, 23, '2024-08-23', 225),
  (485, 379, 24, '2024-08-24', 115),
  (486, 139, 16, '2024-08-25', 303),
  (487, 271, 11, '2024-08-26', 25),
  (488, 77, 15, '2024-08-27', 87),
  (489, 214, 20, '2024-08-28', 350),
  (490, 286, 18, '2024-08-29', 55),
  (491, 178, 14, '2024-08-30', 255),
  (492, 395, 13, '2024-08-31', 65),
  (493, 189, 22, '2024-09-01', 333),
  (494, 364, 19, '2024-09-02', 333),
  (495, 222, 2, '2024-09-03', 51),
  (496, 148, 4, '2024-09-04', 55),
  (497, 59, 27, '2024-09-05', 232),
  (498, 211, 6, '2024-09-06', 261),
  (499, 402, 8, '2024-09-07', 94),
  (500, 100, 23, '2024-09-08', 228)  
  
  ;
